TicketTime,PriorVisits,GiftCardLines,ProduceLines,MeatLines,FishLines,OilLines,FreshPastaLines,SAFOLines,RotisserieLines,NetAmount,DiscountAmount,UniqueItems,UniqueCategories,ReturnedBags,TopItemLines,TicketMonthDecimal,WeekdayNumber,IsFrontEnd,RetailSpendCnt,QSRSpendCnt,TicketCount,TotalLines,ProductVariety,BizHours,WillReturn
19.7,4,0,0,0,0,0,0,0,0,1.8,0.0,1,1,False,1,3.96875,1,False,0.0518732415498,0.0,275,1,1.0,False,True
19.8166666667,5,0,0,0,0,0,0,0,0,3.8,0.0,1,1,False,1,3.96875,1,False,0.109510176605,0.0,275,1,1.0,False,True
19.8333333333,5,0,0,0,0,0,0,0,0,2.8,0.0,1,1,False,1,3.96875,1,False,0.0806917090774,0.0,275,1,1.0,False,True
20.0666666667,8,0,0,0,0,0,0,0,0,6.4,0.0,1,1,False,0,3.96875,1,False,0.184438192177,0.0,231,1,1.0,False,True
20.1666666667,0,0,0,0,0,0,0,0,0,6.2,0.0,2,1,False,2,3.96875,1,False,0.178674498671,0.0,231,2,1.0,False,True
20.1833333333,1,0,0,0,0,0,0,0,0,1.8,0.0,1,1,False,1,3.96875,1,False,0.0518732415498,0.0,231,1,1.0,False,True
20.6,0,0,0,0,0,0,0,0,0,11.98,0.0,2,2,False,1,3.96875,1,False,0.345245240981,0.0,231,2,1.0,False,True
20.7166666667,1,0,0,0,0,0,0,0,0,6.2,0.0,2,1,False,2,3.96875,1,False,0.178674498671,0.0,231,2,1.0,False,True
20.8833333333,0,0,0,0,0,0,0,0,0,7.8,0.0,1,1,False,0,3.96875,1,False,0.224784046716,0.0,231,1,1.0,False,True
20.9833333333,19,0,0,0,0,0,0,0,0,7.84,1.96,1,1,False,0,3.96875,1,False,0.225936785417,0.0,231,1,1.0,False,True
21.0333333333,0,0,0,0,0,0,0,0,0,7.6,0.0,1,1,False,1,3.96875,1,False,0.21902035321,0.0,149,1,1.0,False,False
