TicketTime,PriorVisits,GiftCardLines,ProduceLines,MeatLines,FishLines,OilLines,FreshPastaLines,SAFOLines,RotisserieLines,NetAmount,DiscountAmount,UniqueItems,UniqueCategories,ReturnedBags,TopItemLines,TicketMonthDecimal,WeekdayNumber,IsFrontEnd,RetailSpendCnt,QSRSpendCnt,TicketCount,TotalLines,ProductVariety,BizHours,WillReturn
11.1166666667,1,0,0,0,0,0,0,0,0,8.8,0.0,1,1,False,0,10.75,6,False,0.26162330182,0.0,227,1,1.0,False,True
11.1333333333,0,0,0,0,0,0,0,0,0,14.09,0.0,1,1,False,1,10.75,6,False,0.0,1.1011482052,227,1,1.0,False,False
11.55,11,0,0,0,0,1,1,2,0,43.01,0.0,4,4,False,2,10.75,6,False,1.27868388764,0.0,227,4,1.0,False,True
11.85,0,0,0,0,0,0,0,0,0,1.15,0.0,1,1,False,0,10.75,6,False,0.0,0.0898737002118,227,1,1.0,False,False
12.0,0,0,0,0,0,0,0,0,0,5.8,0.0,1,1,False,0,10.75,6,False,0.0,0.453276053242,329,1,1.0,False,False
12.0333333333,0,0,0,0,0,0,0,0,0,22.0,0.0,3,1,False,0,10.75,6,False,0.654058254549,0.0,329,4,0.75,False,False
12.05,0,0,0,0,0,0,0,0,0,17.8,0.0,1,1,False,0,10.75,6,False,0.529192587772,0.0,329,1,1.0,False,False
12.0666666667,12,0,0,0,0,0,0,0,0,22.0,0.0,1,1,False,0,10.75,6,False,0.654058254549,0.0,329,4,0.25,False,True
12.1666666667,0,0,0,0,0,0,0,0,0,14.4,0.0,3,2,False,0,10.75,6,False,0.428110857523,0.0,329,3,1.0,False,False
12.2,0,0,1,0,0,0,0,0,0,3.75,0.0,2,2,False,0,10.75,6,False,0.11148720248,0.0,329,2,1.0,False,False
12.5166666667,1,0,3,0,0,0,0,5,0,71.2,0.0,13,7,False,4,10.75,6,False,1.77190327141,0.906552106484,329,13,1.0,False,False
12.5166666667,2,0,0,0,0,0,0,0,0,41.4,0.0,2,1,False,0,10.75,6,False,0.0,3.23545320762,329,3,0.666666666667,False,False
12.5333333333,0,0,0,0,0,0,0,0,0,5.8,0.0,1,1,False,1,10.75,6,False,0.0,0.453276053242,329,1,1.0,False,True
12.5333333333,0,0,0,0,0,0,0,0,0,5.8,0.0,1,1,False,0,10.75,6,False,0.0,0.453276053242,329,1,1.0,False,False
12.6,32,0,0,0,0,0,0,4,0,80.71,0.0,5,4,False,4,10.75,6,False,1.71571372136,1.79747400424,329,8,0.625,False,True
12.6,0,0,0,0,0,0,0,0,0,11.6,0.0,2,1,False,1,10.75,6,False,0.0,0.906552106484,329,2,1.0,False,False
12.6166666667,1,0,0,0,0,0,0,0,0,15.2,0.0,2,2,False,0,10.75,6,False,0.451894794052,0.0,329,2,1.0,False,False
12.85,1,0,0,0,0,0,0,0,0,19.16,0.0,2,2,False,0,10.75,6,False,0.297299206613,0.715863559948,329,3,0.666666666667,False,False
12.9,0,0,0,0,0,0,0,0,0,26.62,0.0,1,1,False,1,10.75,6,False,0.0,2.08038078229,329,1,1.0,False,False
