TicketTime,PriorVisits,GiftCardLines,ProduceLines,MeatLines,FishLines,OilLines,FreshPastaLines,SAFOLines,RotisserieLines,NetAmount,DiscountAmount,UniqueItems,UniqueCategories,ReturnedBags,TopItemLines,TicketMonthDecimal,WeekdayNumber,IsFrontEnd,RetailSpendCnt,QSRSpendCnt,TicketCount,TotalLines,ProductVariety,BizHours,WillReturn
13.6166666667,1,0,0,0,0,0,0,0,0,3.67,0.0,1,1,False,0,3.40625,4,False,0.0,0.29718102821,339,1,1.0,True,False
13.75,0,0,0,0,0,0,0,0,0,5.51,0.0,1,1,False,1,3.40625,4,False,0.0,0.4461764211,339,1,1.0,True,False
13.8166666667,0,0,0,0,0,0,0,0,0,7.8,0.0,1,1,False,0,3.40625,4,False,0.224784046716,0.0,339,1,1.0,True,False
14.0,22,0,0,0,0,0,0,0,0,1.0,0.0,1,1,False,1,3.40625,4,False,0.0,0.0809757570055,301,1,1.0,True,True
14.1333333333,0,0,0,0,0,0,0,0,0,2.3,0.0,1,1,False,1,3.40625,4,False,0.0,0.186244241113,301,1,1.0,True,False
14.1666666667,148,0,0,0,0,0,0,0,0,4.75,0.0,2,1,False,2,3.40625,4,False,0.0,0.384634845776,301,2,1.0,True,True
14.1833333333,146,0,0,0,0,0,0,0,0,2.0,0.0,1,1,False,1,3.40625,4,False,0.0,0.161951514011,301,1,1.0,True,True
14.2666666667,1,0,0,0,0,0,0,0,0,3.21,0.0,1,1,False,1,3.40625,4,False,0.0,0.259932179988,301,1,1.0,True,False
14.2833333333,0,0,0,0,0,0,0,0,0,4.53,0.0,3,3,False,2,3.40625,4,False,0.0642651825866,0.186244241113,301,3,1.0,True,True
14.3,1,0,0,0,0,0,0,0,0,-3.05,0.0,2,2,False,2,3.40625,4,False,-0.0216138506457,-0.186244241113,301,2,1.0,True,False
14.4333333333,3,0,0,0,0,0,0,0,0,7.35,0.0,1,1,False,0,3.40625,4,False,0.0,0.59517181399,301,1,1.0,True,True
14.65,1,0,0,0,0,0,0,0,0,5.8,0.0,1,1,False,0,3.40625,4,False,0.16714711166,0.0,301,1,1.0,True,False
14.7,0,0,0,0,0,0,0,0,0,2.3,0.0,1,1,False,1,3.40625,4,False,0.0,0.186244241113,301,1,1.0,True,False
14.7333333333,89,0,0,0,0,0,0,0,0,1.48,0.0,1,1,False,0,3.40625,4,False,0.0426513319409,0.0,301,1,1.0,True,True
15.2166666667,121,0,0,0,0,0,0,0,0,1.25,0.0,1,1,False,1,3.40625,4,False,0.0,0.101219696257,272,1,1.0,True,True
15.2166666667,2,0,0,0,0,0,0,0,0,3.21,0.0,1,1,False,1,3.40625,4,False,0.0,0.259932179988,272,1,1.0,True,True
15.25,0,0,0,0,0,0,0,0,1,11.84,2.96,1,1,False,1,3.40625,4,False,0.0,0.958752962945,272,1,1.0,True,False
15.3333333333,0,0,0,0,0,0,0,0,0,3.67,0.0,1,1,False,0,3.40625,4,False,0.0,0.29718102821,272,1,1.0,True,False
15.3666666667,40,0,1,0,0,0,0,0,0,5.01,1.25,2,2,False,1,3.40625,4,False,0.0806917090774,0.178956422982,272,2,1.0,True,True
15.6666666667,0,0,0,0,0,0,0,0,0,3.67,0.0,1,1,False,0,3.40625,4,False,0.0,0.29718102821,272,1,1.0,True,True
15.7666666667,0,0,0,0,0,0,0,0,0,3.21,0.0,1,1,False,1,3.40625,4,False,0.0,0.259932179988,272,1,1.0,True,True
15.8666666667,8,0,0,0,0,0,0,0,0,10.11,0.0,2,1,False,1,3.40625,4,False,0.0,0.818664903326,272,2,1.0,True,True
16.15,0,0,1,0,0,0,0,0,0,5.58,0.0,2,2,False,0,3.40625,4,False,0.0550432729778,0.29718102821,247,2,1.0,True,True
16.4,1,0,0,0,0,0,0,0,0,4.59,0.0,1,1,False,1,3.40625,4,False,0.0,0.371678724655,247,1,1.0,True,False
16.4833333333,95,0,0,0,0,0,0,0,0,1.44,0.36,1,1,False,0,3.40625,4,False,0.0414985932398,0.0,247,1,1.0,True,True
16.5166666667,0,0,0,0,0,0,0,0,0,9.13,0.0,3,2,False,2,3.40625,4,False,0.0648415519372,0.557113208198,247,3,1.0,True,False
16.5333333333,13,0,0,0,0,0,0,0,0,7.44,1.86,2,1,False,1,3.40625,4,False,0.214409398406,0.0,247,2,1.0,True,True
16.6666666667,25,0,0,0,0,0,0,0,0,3.67,0.0,1,1,False,0,3.40625,4,False,0.0,0.29718102821,247,1,1.0,True,True
16.9333333333,0,0,0,0,0,0,0,0,0,26.76,0.0,3,2,False,2,3.40625,4,False,0.678674910276,0.259932179988,247,3,1.0,True,False
16.9666666667,101,0,0,0,0,0,0,0,0,2.0,0.0,1,1,False,1,3.40625,4,False,0.0,0.161951514011,247,1,1.0,True,True
16.9833333333,1,0,0,0,0,0,0,0,0,6.43,0.0,1,1,False,1,3.40625,4,False,0.0,0.520674117545,247,1,1.0,True,False
17.3166666667,41,0,0,0,0,0,0,0,0,3.24,0.81,2,2,False,1,3.40625,4,False,0.0,0.262361452698,247,2,1.0,False,True
17.4166666667,1,0,0,0,0,0,0,0,0,14.8,0.0,1,1,False,0,3.40625,4,False,0.0,1.19844120368,247,1,1.0,False,True
17.4833333333,0,0,0,0,0,0,0,0,0,21.6,0.0,2,1,False,0,3.40625,4,False,0.622478898597,0.0,247,2,1.0,False,True
17.5166666667,0,0,0,0,0,0,0,0,0,14.0,0.0,5,1,False,0,3.40625,4,False,0.403458545387,0.0,247,5,1.0,False,False
17.8666666667,46,0,0,0,0,0,0,0,0,1.0,0.0,1,1,False,1,3.40625,4,False,0.0,0.0809757570055,247,1,1.0,False,True
17.8833333333,13,0,0,0,0,0,0,0,0,23.6,0.0,1,1,False,0,3.40625,4,False,0.0,1.91102786533,247,1,1.0,False,True
17.95,1,0,0,0,0,0,0,0,0,14.8,0.0,1,1,False,0,3.40625,4,False,0.0,1.19844120368,247,1,1.0,False,True
18.0333333333,0,0,0,0,0,0,0,0,0,38.6,0.0,2,1,False,0,3.40625,4,False,0.0,3.12566422041,306,2,1.0,False,True
18.4,0,0,0,0,0,0,0,0,0,5.59,0.0,2,2,False,1,3.40625,4,False,0.0685879527158,0.259932179988,306,2,1.0,False,False
18.9,2,0,0,0,0,0,0,0,0,3.21,0.0,1,1,False,1,3.40625,4,False,0.0,0.259932179988,306,1,1.0,False,False
18.9166666667,0,0,0,0,0,0,0,0,0,40.6,0.0,2,1,False,0,3.40625,4,False,1.17002978162,0.0,306,2,1.0,False,False
18.9833333333,0,0,0,0,0,0,0,0,0,3.21,0.0,1,1,False,1,3.40625,4,False,0.0,0.259932179988,306,1,1.0,False,False
19.0,0,0,0,0,0,0,0,0,0,20.6,0.0,2,1,False,0,3.40625,4,False,0.593660431069,0.0,279,2,1.0,False,False
19.0,0,0,0,0,0,0,0,0,0,35.2,0.0,4,1,False,0,3.40625,4,False,1.01441005697,0.0,279,4,1.0,False,False
19.0333333333,0,0,0,0,0,0,0,0,0,13.8,0.0,1,1,False,0,3.40625,4,False,0.397694851881,0.0,279,1,1.0,False,True
