TicketDate,TicketTime,PriorVisits,GiftCardLines,OilLines,RotisserieLines,NetAmount,DiscountAmount,UniqueItems,UniqueCategories,ReturnedBags,TopItemLines,RepeatProducts,TicketMonthDecimal,WeekdayNumber,IsFrontEnd,FreshLines,RetailSpendCnt,QSRSpendCnt,TicketCount,TotalLines,ProductVariety,BizHours,WillReturn
2015-03-23,19.55,1,0,0,0,4.8,0.0,1,1,False,0,1,3.71875,1,False,0,0.138336393057,0.0,260,2,0.5,False,True
2015-03-23,19.6166666667,0,0,0,0,9.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.282436802491,0.0,260,1,1.0,False,False
2015-03-23,19.9,0,0,0,0,5.6,0.0,2,1,False,1,0,3.71875,1,False,0,0.161392458566,0.0,260,2,1.0,False,True
2015-03-23,19.9166666667,0,0,0,0,9.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.282436802491,0.0,260,1,1.0,False,False
2015-03-23,19.9333333333,3,0,0,0,4.6,0.0,2,1,False,1,0,3.71875,1,False,0,0.132572376679,0.0,260,2,1.0,False,True
2015-03-23,19.95,6,0,0,0,1.92,0.48,1,1,False,0,0,3.71875,1,False,0,0.0553345572227,0.0,260,1,1.0,False,True
2015-03-23,20.0333333333,1,0,0,0,2.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.0806962292832,0.0,220,1,1.0,False,False
2015-03-23,20.3666666667,0,0,0,0,2.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.0806962292832,0.0,220,1,1.0,False,True
2015-03-23,20.6166666667,1,0,0,0,2.8,0.0,1,1,False,1,1,3.71875,1,False,0,0.0806962292832,0.0,220,1,1.0,False,False
2015-03-23,20.6666666667,0,0,0,0,3.2,0.0,1,1,False,0,0,3.71875,1,False,0,0.0922242620379,0.0,220,1,1.0,False,True
2015-03-23,20.7,5,0,0,0,6.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.195976556831,0.0,220,1,1.0,False,True
2015-03-23,20.7166666667,2,0,0,0,3.2,0.0,1,1,False,0,0,3.71875,1,False,0,0.0922242620379,0.0,220,1,1.0,False,True
2015-03-23,20.7833333333,0,0,0,0,9.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.282436802491,0.0,220,1,1.0,False,False
2015-03-23,21.15,0,0,0,0,2.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.0806962292832,0.0,121,1,1.0,False,True
2015-03-23,21.1666666667,4,0,0,0,3.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.10951631117,0.0,121,1,1.0,False,True
2015-03-23,10.0833333333,0,0,0,0,4.75,0.0,1,1,False,0,0,3.71875,1,False,1,0.136895388963,0.0,71,1,1.0,True,False
2015-03-23,10.4166666667,27,0,0,0,66.28,0.0,8,3,False,0,3,3.71875,1,False,6,1.24733314406,1.82340402595,71,8,1.0,True,True
2015-03-23,10.6333333333,0,0,0,0,23.0,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,1.82340402595,71,1,1.0,True,False
2015-03-23,10.75,3,0,0,0,5.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,0.459814928283,71,1,1.0,True,True
2015-03-23,10.8166666667,1,0,0,0,30.4,0.0,4,4,False,0,0,3.71875,1,False,0,0.783906227322,0.253690994915,71,5,0.8,True,False
2015-03-23,10.85,0,0,0,0,22.2,0.0,4,3,False,0,0,3.71875,1,False,0,0.639805817888,0.0,71,4,1.0,True,False
2015-03-23,11.1666666667,0,0,0,1,14.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.0,1.17332085148,138,1,1.0,True,False
2015-03-23,11.8333333333,0,0,0,0,10.3,0.0,2,2,False,1,0,3.71875,1,False,1,0.296846843434,0.0,138,2,1.0,True,False
2015-03-23,11.9,2,0,0,0,3.0,0.0,1,1,False,4,0,3.71875,1,False,0,0.0864602456605,0.0,138,4,0.25,True,True
2015-03-23,12.1166666667,0,0,0,0,82.64,0.0,4,2,False,1,0,3.71875,1,False,2,2.38169156713,0.0,287,5,0.8,True,False
2015-03-23,12.1666666667,1,0,0,0,23.74,0.0,5,2,False,0,0,3.71875,1,False,0,0.426537211925,0.708749217043,287,5,1.0,True,False
2015-03-23,12.35,0,0,0,0,5.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,0.459814928283,287,1,1.0,True,True
2015-03-23,12.35,1,0,0,0,5.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,0.459814928283,287,1,1.0,True,True
2015-03-23,12.4333333333,0,0,0,0,17.44,0.0,3,3,False,1,0,3.71875,1,False,2,0.502622228107,0.0,287,3,1.0,True,False
2015-03-23,12.4666666667,1,0,0,0,5.2,0.0,1,1,False,0,0,3.71875,1,False,0,0.149864425812,0.0,287,1,1.0,True,True
2015-03-23,12.6333333333,8,0,0,1,5.3,0.0,1,1,False,1,1,3.71875,1,False,0,0.0,0.420175710327,287,1,1.0,True,False
2015-03-23,12.7166666667,1,0,0,0,11.6,0.0,2,1,False,1,0,3.71875,1,False,0,0.0,0.919629856566,287,2,1.0,True,False
2015-03-23,12.8333333333,1,0,0,0,9.01,0.0,2,2,False,0,0,3.71875,1,False,1,0.2596689378,0.0,287,3,0.666666666667,True,False
2015-03-23,12.9166666667,3,0,0,0,5.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,0.459814928283,287,1,1.0,True,True
2015-03-23,12.9166666667,1,0,0,0,5.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,0.459814928283,287,1,1.0,True,True
2015-03-23,13.0333333333,0,0,0,0,5.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.0,0.459814928283,358,1,1.0,True,False
2015-03-23,13.05,0,0,0,0,4.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,0.380536492372,358,1,1.0,True,False
2015-03-23,13.1333333333,1,0,0,0,25.01,0.0,4,3,False,1,0,3.71875,1,False,1,0.324514122046,1.09007849377,358,4,1.0,True,True
2015-03-23,13.1833333333,0,0,0,0,7.01,0.0,2,2,False,0,0,3.71875,1,False,0,0.0,0.555741835735,358,2,1.0,True,False
2015-03-23,13.25,0,0,0,0,66.8,0.0,3,2,False,0,0,3.71875,1,False,0,1.92518147004,0.0,358,6,0.5,True,False
2015-03-23,13.2666666667,0,0,0,0,45.6,0.0,5,3,False,0,0,3.71875,1,False,0,1.31419573404,0.0,358,7,0.714285714286,True,False
2015-03-23,13.2833333333,0,0,0,0,5.8,0.0,1,1,False,1,0,3.71875,1,False,0,0.0,0.459814928283,358,1,1.0,True,True
2015-03-23,13.2833333333,1,0,0,0,11.6,0.0,2,1,False,1,0,3.71875,1,False,0,0.0,0.919629856566,358,2,1.0,True,False
2015-03-23,13.3,5,0,0,0,5.98,0.0,2,2,False,1,1,3.71875,1,False,1,0.172344089683,0.0,358,2,1.0,True,True
2015-03-23,13.35,0,0,0,0,6.87,0.0,1,1,False,0,0,3.71875,1,False,0,0.0,0.544642854708,358,1,1.0,True,False
2015-03-23,13.3666666667,0,0,0,0,16.1,0.0,3,2,False,0,0,3.71875,1,False,1,0.464003318378,0.0,358,3,1.0,True,False
2015-03-23,13.3833333333,2,0,0,0,18.6,0.0,2,1,False,0,0,3.71875,1,False,0,0.536053523095,0.0,358,2,1.0,True,False
2015-03-23,13.5166666667,0,0,0,0,41.39,0.0,2,2,False,0,0,3.71875,1,False,1,1.1928631893,0.0,358,2,1.0,True,False
2015-03-23,13.55,0,0,0,0,18.11,0.0,2,2,False,1,0,3.71875,1,False,0,0.195976556831,0.896639110152,358,2,1.0,True,False
2015-03-23,13.6333333333,1,0,0,0,26.4,0.0,1,1,False,0,0,3.71875,1,False,0,0.760850161813,0.0,358,3,0.333333333333,True,True
2015-03-23,13.6833333333,0,0,0,0,9.6,0.0,2,1,False,0,0,3.71875,1,False,0,0.0,0.761072984744,358,3,0.666666666667,True,False
2015-03-23,13.75,0,0,0,0,46.26,0.0,4,3,False,1,0,3.71875,1,False,1,1.27298301694,0.165691931054,358,5,0.8,True,False
2015-03-23,13.7666666667,0,0,0,0,46.47,0.0,4,3,False,1,0,3.71875,1,False,1,1.22398887773,0.317113743643,358,5,0.8,True,False
2015-03-23,13.7833333333,0,0,0,0,23.27,0.0,3,3,False,1,0,3.71875,1,False,1,0.630583391684,0.110197025916,358,3,1.0,True,False
2015-03-23,13.8333333333,0,0,0,0,123.72,0.0,5,3,False,1,0,3.71875,1,False,0,2.38053876385,3.25992928465,358,9,0.555555555556,True,False
2015-03-23,13.8833333333,0,0,0,0,51.2,0.0,2,1,False,0,0,3.71875,1,False,0,1.47558819261,0.0,358,4,0.5,True,False
2015-03-23,13.9,0,0,0,0,25.99,0.0,3,3,False,1,0,3.71875,1,False,0,0.253616720604,1.36279631331,358,4,0.75,True,False
2015-03-23,14.0,1,0,0,0,9.8,0.0,1,1,False,0,0,3.71875,1,False,0,0.282436802491,0.0,319,1,1.0,True,True
2015-03-23,14.05,1,0,0,0,10.19,0.0,2,2,False,1,1,3.71875,1,False,0,0.253616720604,0.110197025916,319,2,1.0,True,True
