TicketTime,PriorVisits,GiftCardLines,NetAmount,DiscountAmount,UniqueItems,UniqueCategories,ReturnedBags,BoughtProduce,TicketMonthDecimal,WeekdayNumber,IsFrontEnd,RetailSpendCnt,QSRSpendCnt,TicketCount,BizHours,WillReturn
22.9333333333,0,0,60.4,0.0,7,3,False,False,5.3125,6,True,1.78824038351,0.0,173,False,False
10.05,0,0,14.8,0.0,1,1,False,False,5.3125,6,True,0.438178107218,0.0,118,False,False
10.0666666667,2,0,12.85,0.0,4,2,False,True,5.3125,6,True,0.380445180929,0.0,118,False,True
10.1,26,0,45.8,0.0,6,4,False,False,5.3125,6,True,1.35598360207,0.0,118,False,True
10.1333333333,17,0,5.31,0.0,2,2,False,True,5.3125,6,True,0.157211199279,0.0,118,False,True
10.2333333333,0,0,16.0,0.0,1,1,False,False,5.3125,6,True,0.473706061857,0.0,118,False,False
10.2666666667,0,0,29.44,0.0,4,3,False,True,5.3125,6,True,0.871619153818,0.0,118,False,False
10.3166666667,1,0,40.01,0.0,3,2,False,True,5.3125,6,True,1.18456122093,0.0,118,False,False
10.3666666667,0,0,203.91,0.0,12,11,False,True,5.3125,6,True,5.87632369734,0.471512840513,118,False,False
10.4,1,0,17.17,0.0,2,2,False,False,5.3125,6,True,0.508345817631,0.0,118,False,True
10.4166666667,2,0,12.68,0.0,6,1,False,False,5.3125,6,True,0.375412054022,0.0,118,False,False
10.4333333333,0,0,13.64,0.0,2,1,False,False,5.3125,6,True,0.403834417733,0.0,118,False,False
10.45,0,0,22.0,0.0,5,3,False,False,5.3125,6,True,0.651345835054,0.0,118,False,False
10.4666666667,0,0,28.83,0.0,5,4,False,True,5.3125,6,True,0.853559110209,0.0,118,False,False
10.5166666667,44,0,34.73,0.0,6,1,False,True,5.3125,6,True,1.02823822052,0.0,118,False,True
10.55,0,0,21.9,0.0,4,3,False,False,5.3125,6,True,0.648385172167,0.0,118,False,False
10.6666666667,0,0,124.75,0.0,12,7,False,True,5.3125,6,True,3.69342695104,0.0,118,False,False
10.7,8,0,31.77,0.0,5,3,False,True,5.3125,6,True,0.940602599076,0.0,118,False,True
10.7666666667,13,0,38.21,0.0,5,4,False,False,5.3125,6,True,1.13126928897,0.0,118,False,True
10.8666666667,3,0,61.89,0.0,2,2,False,False,5.3125,6,True,1.83235426052,0.0,118,False,True
10.9,13,0,58.82,0.0,7,6,False,True,5.3125,6,True,1.7414619099,0.0,118,False,True
10.9333333333,48,0,122.77,0.0,13,8,False,True,5.3125,6,True,3.63480582589,0.0,118,False,True
10.9666666667,0,0,91.63,0.0,8,4,False,False,5.3125,6,True,2.712855403,0.0,118,False,False
11.0666666667,0,0,96.39,0.0,13,7,False,True,5.3125,6,True,2.8537829564,0.0,277,False,False
11.0833333333,0,0,9.6,0.0,1,1,False,False,5.3125,6,True,0.284223637114,0.0,277,False,False
11.1333333333,3,0,19.64,0.0,3,3,False,True,5.3125,6,True,0.173494845155,1.19658323062,277,False,True
13.9666666667,0,0,424.63,0.0,2,2,False,False,5.3125,6,True,12.5718628154,0.0,499,False,False
13.9833333333,11,0,17.18,0.0,4,3,False,False,5.3125,6,True,0.508641883919,0.0,499,False,True
14.0,0,0,9.8,0.0,1,1,False,False,5.3125,6,True,0.290144962888,0.0,460,False,False
14.0333333333,0,0,5.8,0.0,1,1,False,False,5.3125,6,True,0.171718447423,0.0,460,False,False
14.15,0,0,5.8,0.0,1,1,False,False,5.3125,6,True,0.171718447423,0.0,460,False,False
14.3,1,0,2.96,0.0,2,1,False,False,5.3125,6,True,0.0876356214436,0.0,460,False,True
14.5833333333,51,0,4.25,0.0,1,1,False,False,5.3125,6,True,0.125828172681,0.0,460,False,True
14.6,0,0,26.4,0.0,2,2,False,False,5.3125,6,True,0.781615002065,0.0,460,False,False
14.6333333333,0,0,37.8,0.0,6,4,False,False,5.3125,6,True,1.11913057114,0.0,460,False,False
14.7833333333,5,0,122.38,0.0,3,2,False,False,5.3125,6,True,3.62325924063,0.0,460,False,True
